Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (693, 433, 855, 637), Centroids: 774.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (693, 433, 855, 637), Centroids: 774.0
Tracker ID: 3, Class: scissors,  Coordinates: (212, 565, 424, 607), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (694, 433, 854, 635), Centroids: 774.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (694, 433, 854, 635), Centroids: 774.0
Tracker ID: 3, Class: scissors,  Coordinates: (211, 565, 425, 608), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (695, 434, 853, 633), Centroids: 774.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (695, 434, 853, 633), Centroids: 774.0
Tracker ID: 3, Class: scissors,  Coordinates: (210, 565, 426, 608), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 632), Centroids: 774.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 632), Centroids: 774.5
Tracker ID: 3, Class: scissors,  Coordinates: (208, 564, 427, 609), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 632), Centroids: 774.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 632), Centroids: 774.5
Tracker ID: 3, Class: scissors,  Coordinates: (207, 564, 428, 609), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 631), Centroids: 774.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (696, 434, 853, 631), Centroids: 774.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 564, 425, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (699, 437, 850, 625), Centroids: 774.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (699, 437, 850, 625), Centroids: 774.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 564, 424, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (699, 437, 849, 623), Centroids: 774.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 570, 592, 629), Centroids: 509.0
Tracker ID: 2, Class: bed,  Coordinates: (699, 437, 849, 623), Centroids: 774.0
Tracker ID: 3, Class: scissors,  Coordinates: (211, 564, 423, 608), Centroids: 317.0
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 593, 629), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 593, 629), Centroids: 508.5
Tracker ID: 2, Class: bed,  Coordinates: (700, 438, 848, 622), Centroids: 774.0
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 593, 629), Centroids: 508.5
Tracker ID: 2, Class: bed,  Coordinates: (700, 438, 848, 622), Centroids: 774.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 564, 426, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (423, 569, 594, 629), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (423, 569, 594, 629), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 564, 426, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 593, 630), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (424, 569, 593, 630), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (209, 563, 426, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 593, 630), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 593, 630), Centroids: 509.0
Tracker ID: 3, Class: scissors,  Coordinates: (209, 563, 426, 608), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 630), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 630), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (210, 563, 426, 607), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 629), Centroids: 508.5
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 629), Centroids: 508.5
Tracker ID: 3, Class: scissors,  Coordinates: (211, 563, 424, 607), Centroids: 317.5
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 592, 629), Centroids: 509.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 592, 629), Centroids: 509.0
Tracker ID: 3, Class: scissors,  Coordinates: (212, 563, 424, 607), Centroids: 318.0
Tracker ID: 1, Class: spoon,  Coordinates: (426, 569, 592, 629), Centroids: 509.0
Tracker ID: 3, Class: scissors,  Coordinates: (212, 563, 424, 607), Centroids: 318.0
Tracker ID: 4, Class: person,  Coordinates: (594, 183, 842, 642), Centroids: 718.0
Tracker ID: 1, Class: spoon,  Coordinates: (425, 569, 592, 629), Centroids: 508.5
