Frame #: 3, Time: 64.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 644, 629), Centroids: (709.0, 882.5)
Frame #: 3, Time: 64.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 644, 629), Centroids: (709.0, 882.5)
Frame #: 3, Time: 64.0, Tracker ID: 2, Class: person,  Coordinates: (609, 2, 1272, 720), Centroids: (1245.0, 362.0)
Frame #: 3, Time: 64.0, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 644, 629), Centroids: (709.0, 882.5)
Frame #: 3, Time: 64.0, Tracker ID: 2, Class: person,  Coordinates: (609, 2, 1272, 720), Centroids: (1245.0, 362.0)
Frame #: 3, Time: 64.0, Tracker ID: 3, Class: knife,  Coordinates: (98, 524, 514, 626), Centroids: (355.0, 837.0)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 641, 629), Centroids: (707.5, 882.5)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 641, 629), Centroids: (707.5, 882.5)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 2, Class: person,  Coordinates: (608, 0, 1274, 720), Centroids: (1245.0, 360.0)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 641, 629), Centroids: (707.5, 882.5)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 2, Class: person,  Coordinates: (608, 0, 1274, 720), Centroids: (1245.0, 360.0)
Frame #: 4, Time: 96.03333333333333, Tracker ID: 3, Class: knife,  Coordinates: (97, 523, 516, 625), Centroids: (355.0, 835.5)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (388, 569, 642, 629), Centroids: (709.0, 883.5)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (388, 569, 642, 629), Centroids: (709.0, 883.5)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 2, Class: person,  Coordinates: (606, 0, 1272, 720), Centroids: (1242.0, 360.0)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (388, 569, 642, 629), Centroids: (709.0, 883.5)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 2, Class: person,  Coordinates: (606, 0, 1272, 720), Centroids: (1242.0, 360.0)
Frame #: 5, Time: 128.03333333333333, Tracker ID: 3, Class: knife,  Coordinates: (98, 522, 515, 625), Centroids: (355.5, 834.5)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 629), Centroids: (709.5, 882.5)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 629), Centroids: (709.5, 882.5)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 2, Class: person,  Coordinates: (601, 0, 1269, 720), Centroids: (1235.5, 360.0)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (387, 568, 645, 629), Centroids: (709.5, 882.5)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 2, Class: person,  Coordinates: (601, 0, 1269, 720), Centroids: (1235.5, 360.0)
Frame #: 6, Time: 160.13333333333335, Tracker ID: 3, Class: knife,  Coordinates: (97, 523, 516, 626), Centroids: (355.0, 836.0)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (389, 568, 645, 629), Centroids: (711.5, 882.5)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (389, 568, 645, 629), Centroids: (711.5, 882.5)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (594, 0, 1263, 720), Centroids: (1225.5, 360.0)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (389, 568, 645, 629), Centroids: (711.5, 882.5)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (594, 0, 1263, 720), Centroids: (1225.5, 360.0)
Frame #: 7, Time: 207.9666666666667, Tracker ID: 3, Class: knife,  Coordinates: (99, 523, 515, 626), Centroids: (356.5, 836.0)
Frame #: 8, Time: 240.1, Tracker ID: 1, Class: spoon,  Coordinates: (388, 565, 649, 627), Centroids: (712.5, 878.5)
Frame #: 8, Time: 240.1, Tracker ID: 1, Class: spoon,  Coordinates: (388, 565, 649, 627), Centroids: (712.5, 878.5)
Frame #: 8, Time: 240.1, Tracker ID: 2, Class: person,  Coordinates: (587, 0, 1259, 720), Centroids: (1216.5, 360.0)
Frame #: 8, Time: 240.1, Tracker ID: 1, Class: spoon,  Coordinates: (388, 565, 649, 627), Centroids: (712.5, 878.5)
Frame #: 8, Time: 240.1, Tracker ID: 2, Class: person,  Coordinates: (587, 0, 1259, 720), Centroids: (1216.5, 360.0)
Frame #: 8, Time: 240.1, Tracker ID: 3, Class: knife,  Coordinates: (102, 524, 513, 625), Centroids: (358.5, 836.5)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (386, 566, 646, 628), Centroids: (709.0, 880.0)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (386, 566, 646, 628), Centroids: (709.0, 880.0)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (580, 0, 1255, 720), Centroids: (1207.5, 360.0)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (386, 566, 646, 628), Centroids: (709.0, 880.0)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (580, 0, 1255, 720), Centroids: (1207.5, 360.0)
Frame #: 9, Time: 271.9666666666667, Tracker ID: 3, Class: knife,  Coordinates: (103, 524, 514, 625), Centroids: (360.0, 836.5)
Frame #: 10, Time: 304.0, Tracker ID: 1, Class: spoon,  Coordinates: (383, 566, 648, 629), Centroids: (707.0, 880.5)
Frame #: 10, Time: 304.0, Tracker ID: 1, Class: spoon,  Coordinates: (383, 566, 648, 629), Centroids: (707.0, 880.5)
Frame #: 10, Time: 304.0, Tracker ID: 2, Class: person,  Coordinates: (571, 0, 1250, 720), Centroids: (1196.0, 360.0)
Frame #: 10, Time: 304.0, Tracker ID: 1, Class: spoon,  Coordinates: (383, 566, 648, 629), Centroids: (707.0, 880.5)
Frame #: 10, Time: 304.0, Tracker ID: 2, Class: person,  Coordinates: (571, 0, 1250, 720), Centroids: (1196.0, 360.0)
